feature,importance
sms_send,0.28228846019367454
cos_52,0.23691384117454298
week_of_year,0.11220346713962735
tiktok_spend_sat,0.049491521228071406
trend,0.04893169359258588
google_resid,0.04328308538867356
snapchat_spend_sat,0.040406589983168394
average_price,0.039389052817490756
social_followers,0.032815085558949374
emails_send,0.028551969097338932
instagram_spend_sat,0.025203417398501037
sin_26,0.02123599131485403
sin_52,0.02081741232369526
facebook_spend_sat,0.017288284568978022
promotions,0.0011801282198485167
